date,next_date,tenor,regime,forecast_p10,forecast_p50,forecast_p90,realized,rmse,mae,crps,pit,in_band
2021-11-04,2021-11-05,USGG5YR Index,2,1.1123664460185716,1.1485631145660584,1.1805501077705154,1.0555,0.09151427021505487,0.09151427021505487,0.079650239690172,0.0,False
2021-11-04,2021-11-05,USGG7YR Index,2,1.3642473554578884,1.3985618987001929,1.4286372836449377,1.3139,0.08316698812208734,0.08316698812208734,0.07244788363118566,0.0,False
2021-11-04,2021-11-05,USGG10YR Index,2,1.6764478838926222,1.7074480591636383,1.7350970960283665,1.4513,0.2548100023483837,0.2548100023483837,0.2449136183064452,0.0,False
2021-11-04,2021-11-05,USGG30YR Index,2,2.53934696691341,2.5576907306007737,2.574603212831457,1.887,0.6704408300275371,0.6704408300275371,0.6640230573262165,0.0,False
2021-11-05,2021-11-08,USGG2YR Index,2,0.6200738369360893,0.6582107594975403,0.6950275334708211,0.4426,0.2152490896916146,0.2152490896916146,0.20281247279726897,0.0,False
2021-11-05,2021-11-08,USGG3YR Index,2,0.7848267266681723,0.8220689111578361,0.8577175337166546,0.7167,0.10497665702843872,0.10497665702843872,0.09266949275178826,0.0,False
2021-11-05,2021-11-08,USGG5YR Index,2,1.0799452945863643,1.115300022398721,1.1491979583859786,1.1169,0.002089464167744026,0.002089464167744026,0.005557008283884427,0.545,True
2021-11-05,2021-11-08,USGG7YR Index,2,1.3337277266355243,1.3672855455365325,1.3991035425946694,1.3703,0.0035763579594922934,0.0035763579594922934,0.005020564380028297,0.575,True
2021-11-05,2021-11-08,USGG10YR Index,2,1.6481094188434398,1.6788908344887914,1.7079650598347835,1.4897,0.1887207571014109,0.1887207571014109,0.17869406369276353,0.0,False
2021-11-05,2021-11-08,USGG30YR Index,2,2.5243727511973093,2.543856738719655,2.5614854982307187,1.8816,0.6619765392685644,0.6619765392685644,0.6562031280892276,0.0,False
2021-11-08,2021-11-09,USGG2YR Index,2,0.6360389844980403,0.6734709210846168,0.710534669353827,0.4208,0.25216100285248494,0.25216100285248494,0.23970857838895396,0.0,False
2021-11-08,2021-11-09,USGG3YR Index,2,0.8002272661621846,0.8366891285434669,0.8727358890029732,0.7263,0.10993336545542731,0.10993336545542731,0.09851964781903674,0.0,False
2021-11-08,2021-11-09,USGG5YR Index,2,1.094252343930456,1.1287816674449045,1.1627523835024816,1.0813,0.04707230464583945,0.04707230464583945,0.03522291466251011,0.011,False
2021-11-08,2021-11-09,USGG7YR Index,2,1.3467722764834456,1.3797302924892372,1.4117517691831474,1.3185,0.06092843032295958,0.06092843032295958,0.049701350353082,0.002,False
2021-11-08,2021-11-09,USGG10YR Index,2,1.6603675176525243,1.6903016704810796,1.7197651020440365,1.4358,0.2542617367672666,0.2542617367672666,0.24346410509118477,0.0,False
2021-11-08,2021-11-09,USGG30YR Index,2,2.5339620432620444,2.5520804125391097,2.569896869330007,1.8178,0.7344015289493111,0.7344015289493111,0.7279050690098852,0.0,False
2021-11-09,2021-11-10,USGG2YR Index,2,0.6126583917908063,0.649717067894521,0.6861688450012436,0.5129,0.13617159643447085,0.13617159643447085,0.12403940874505,0.0,False
2021-11-09,2021-11-10,USGG3YR Index,2,0.7775845147671379,0.8134102198155311,0.8487059876754358,0.8478,0.035047611266845746,0.035047611266845746,0.024235535074231967,0.941,True
2021-11-09,2021-11-10,USGG5YR Index,2,1.0726172319195049,1.1065490175512696,1.1397161080395282,1.216,0.1103307293966076,0.1103307293966076,0.09891188869344536,1.0,False
2021-11-09,2021-11-10,USGG7YR Index,2,1.325975986761975,1.358387368933027,1.3897802990184005,1.4436,0.08614561189128667,0.08614561189128667,0.07504600090676196,1.0,False
2021-11-09,2021-11-10,USGG10YR Index,2,1.6403563635752427,1.669930976975932,1.6994830153176674,1.5493,0.1197965985121816,0.1197965985121816,0.11021319375658033,0.0,False
2021-11-09,2021-11-10,USGG30YR Index,2,2.5180448441469063,2.5361228745897186,2.553905168604325,1.904,0.6319970320255708,0.6319970320255708,0.6259258400914011,0.0,False
2021-11-10,2021-11-11,USGG2YR Index,2,0.6846761354160331,0.720661070728227,0.7567731784207413,0.5129,0.2080459612899418,0.2080459612899418,0.196405517202234,0.0,False
2021-11-10,2021-11-11,USGG3YR Index,2,0.8469372260013902,0.8820028721550537,0.9172015182107107,0.8478,0.03448067590799808,0.03448067590799808,0.023655886011151053,0.056,True
2021-11-10,2021-11-11,USGG5YR Index,2,1.1372596208157777,1.1706360171975279,1.2040167887986228,1.216,0.045200761904684805,0.045200761904684805,0.03262686546371649,0.984,False
2021-11-10,2021-11-11,USGG7YR Index,2,1.3867537954558555,1.4184640751137494,1.4499712943381065,1.4436,0.025052549179502615,0.025052549179502615,0.016077792825458882,0.904,True
2021-11-10,2021-11-11,USGG10YR Index,2,1.6953074053494699,1.7246628294407909,1.7538160516629484,1.5493,0.17544001837139245,0.17544001837139245,0.16613205666762584,0.0,False
2021-11-10,2021-11-11,USGG30YR Index,2,2.5507707966001973,2.5682722246500296,2.585786743843676,1.8997,0.6684767301819716,0.6684767301819716,0.662027573234271,0.0,False
2021-11-11,2021-11-12,USGG2YR Index,2,0.6934009209356802,0.7300455647790731,0.7650600590799941,0.5115,0.21850983585011663,0.21850983585011663,0.20541947790086681,0.0,False
2021-11-11,2021-11-12,USGG3YR Index,2,0.8547123795760752,0.8906941141686904,0.9247240633124555,0.8425,0.048119789482379494,0.048119789482379494,0.03523057963284852,0.014,False
2021-11-11,2021-11-12,USGG5YR Index,2,1.1434596338179606,1.1777680395350272,1.2094609921798865,1.2211,0.04339297563350719,0.04339297563350719,0.031845918090553656,0.984,False
2021-11-11,2021-11-12,USGG7YR Index,2,1.3918215905080755,1.4240803787022074,1.453848945943361,1.4531,0.029047283658530487,0.029047283658530487,0.018685328403524697,0.943,True
2021-11-11,2021-11-12,USGG10YR Index,2,1.6987727578153264,1.7282191484947973,1.7553895844663627,1.5613,0.16690487223980188,0.16690487223980188,0.15717070101322955,0.0,False
2021-11-11,2021-11-12,USGG30YR Index,2,2.542751654799225,2.5602671934152,2.577416737248095,1.9308,0.6295847545926616,0.6295847545926616,0.6230408129605907,0.0,False
2021-11-12,2021-11-15,USGG2YR Index,2,0.7143105997989815,0.7498632363527031,0.7850364425960743,0.5157,0.23450777858183935,0.23450777858183935,0.22267821251680364,0.0,False
2021-11-12,2021-11-15,USGG3YR Index,2,0.8750381106607138,0.9096799087682967,0.9436436503096858,0.8664,0.043550201105606146,0.043550201105606146,0.03267939027255431,0.028,False
2021-11-12,2021-11-15,USGG5YR Index,2,1.1623821385056767,1.1949601293237673,1.2269085219924027,1.2522,0.05680855650257133,0.05680855650257133,0.04685694945059559,0.999,False
2021-11-12,2021-11-15,USGG7YR Index,2,1.4092600091276892,1.4398642307382699,1.469930947910925,1.4984,0.05819756781259944,0.05819756781259944,0.04753450740422911,1.0,False
2021-11-12,2021-11-15,USGG10YR Index,2,1.7138471044991725,1.7419209043429107,1.769674851296456,1.6145,0.12774312080485695,0.12774312080485695,0.1188507003710945,0.0,False
2021-11-12,2021-11-15,USGG30YR Index,2,2.547994492390547,2.564338819117242,2.5809895539839753,1.9959,0.5687649956190068,0.5687649956190068,0.5631126027898409,0.0,False
2021-11-15,2021-11-16,USGG2YR Index,2,0.7424923115845571,0.7797081939674193,0.8157813435609772,0.5179,0.2609905068746954,0.2609905068746954,0.24936194214997423,0.0,False
2021-11-15,2021-11-16,USGG3YR Index,2,0.9021591690146371,0.9383796975880628,0.9734977919904407,0.8692,0.06838086539667187,0.06838086539667187,0.05610033220928382,0.002,False
2021-11-15,2021-11-16,USGG5YR Index,2,1.1874653127292796,1.2217051155295668,1.254730961247711,1.2653,0.0442814827946294,0.0442814827946294,0.032996846903096844,0.985,False
2021-11-15,2021-11-16,USGG7YR Index,2,1.4322887702181688,1.4645259413612721,1.4954470004671423,1.5199,0.05594765915854527,0.05594765915854527,0.045520419638580834,0.999,False
2021-11-15,2021-11-16,USGG10YR Index,2,1.7340094045214667,1.7637514125370517,1.7923672043085275,1.6335,0.12989565844041362,0.12989565844041362,0.1195128280774454,0.0,False
2021-11-15,2021-11-16,USGG30YR Index,2,2.5554680425213814,2.5736921874735295,2.591562885698208,2.0285,0.5450708861085616,0.5450708861085616,0.5387402441781868,0.0,False
2021-11-16,2021-11-17,USGG2YR Index,2,0.7608393540103594,0.7985521070390207,0.8335141089940072,0.4979,0.3006117656195594,0.3006117656195594,0.2875322278154655,0.0,False
2021-11-16,2021-11-17,USGG3YR Index,2,0.9198159044692241,0.9564570435856303,0.9905196576306259,0.8427,0.11372178160423585,0.11372178160423585,0.10283506871777628,0.0,False
2021-11-16,2021-11-17,USGG5YR Index,2,1.2038418707239473,1.2383453977968686,1.2708986219451675,1.231,0.00735445995219508,0.00735445995219508,0.005310286376080685,0.356,True
2021-11-16,2021-11-17,USGG7YR Index,2,1.4475215461018562,1.4799156043532158,1.5105359308163637,1.4747,0.005155556242010251,0.005155556242010251,0.005297504333444669,0.383,True
2021-11-16,2021-11-17,USGG10YR Index,2,1.7476435828535035,1.7774778951992274,1.8054969327934918,1.5889,0.18837960159501632,0.18837960159501632,0.17820539306360622,0.0,False
2021-11-16,2021-11-17,USGG30YR Index,2,2.5594373357918383,2.57738522749579,2.595354604003668,1.9755,0.6018296188112344,0.6018296188112344,0.5956689882152468,0.0,False
2021-11-17,2021-11-18,USGG2YR Index,2,0.7468031984608601,0.7842040722735857,0.8221559285438733,0.5021,0.28227971167603705,0.28227971167603705,0.2690787048627294,0.0,False
2021-11-17,2021-11-18,USGG3YR Index,2,0.9059550358240918,0.9423329850922528,0.97912828952905,0.8428,0.0997196200934869,0.0997196200934869,0.08607777169380648,0.0,False
2021-11-17,2021-11-18,USGG5YR Index,2,1.1904383162080172,1.224763542546749,1.2594573060299843,1.2196,0.005274045157606988,0.005274045157606988,0.006198338865028382,0.396,True
2021-11-17,2021-11-18,USGG7YR Index,2,1.4345793571753882,1.4666392509484267,1.4993581913944714,1.4699,0.0031490796545399213,0.0031490796545399213,0.004488704470338502,0.568,True
2021-11-17,2021-11-18,USGG10YR Index,2,1.7353028061714577,1.7645122438230483,1.7944249342128817,1.5855,0.1791635164752463,0.1791635164752463,0.1683538069673972,0.0,False
2021-11-17,2021-11-18,USGG30YR Index,2,2.548689774451131,2.566482322928102,2.5844765567154266,1.9685,0.5980021613802944,0.5980021613802944,0.5910917003592344,0.0,False
2021-11-18,2021-11-19,USGG2YR Index,2,0.7502882608507517,0.7858455152481002,0.8198979547603417,0.5067,0.27857308244094314,0.27857308244094314,0.267499045978075,0.0,False
2021-11-18,2021-11-19,USGG3YR Index,2,0.9091787607600623,0.9437333478747195,0.9768168268953119,0.8591,0.08417975257352717,0.08417975257352717,0.0725107450559594,0.0,False
